,Borgo Valsugana,Monte Gaza,Parco S. Chiara,Piana Rotaliana,Riva del Garda,Rovereto,"A22_sud,_Termeno,_c/o_Maso_Binnenland","Brunico_1,_c/o_parcheggio_di_via_Goethe","Bressanone,_c/o_Villa_Adele_in_Via_Stazione",Bolzano_4-Via_C.Augusta,Bolzano_5-P.zza_Adriano,"Laces_1-Via_Stazione,_parcheggio_fs","Laives_1,_c/o_campi_sportivi_zona_Galizia","Merano_1,_Via_Trogman",Bergamo-via_Garibaldi_PM10,Brescia-Broletto_PM10,Calusco_d'Adda_PM10,Filago-via_Don_Milani_PM10,Lallio_PM10,Mantova-p.zza_Gramsci_PM10,Mantova-S.Agnese_PM10,Osio_Sotto_PM10,Parona_PM10,Pavia-p.zza_Minerva_PM10,Sannazzaro_de'_Burgondi-AGIP_PM10,Sarezzo-via_Minelli_PM10,Valmadrera_PM10,Vigevano-via_Valletta_PM10,Voghera-via_Pozzoni_PM10,Conegliano,TV_Lancieri,Mansue,TV_S_Agnese,Bissuola,VE_Tagliamento
Filago-via_Don_Milani_PM10,0.021048784154751945,0.021169098163883095,0.027619062634358767,0.03716391276808363,0.05333519868188638,0.023787129752470892,0.03793207493512381,0.0007681621670401894,0.005407805961211918,0.022271425097965907,0.01503097461491676,0.0021351036105468836,0.022271425097965907,0.015030974614916759,0.6773663742498774,0.043026102375014974,0.761043570109536,1.6475063016569116,0.6773663742498776,0.0008860294322638475,0.006237582962550357,0.6773663742498776,0.12581726880240965,0.5082926437193755,0.12581726880240965,0.2957770287651754,0.6665244116105842,0.12581726880240965,0.12581726880240965,0.0,0.0,0.0,0.0,0.0,0.0
Lallio_PM10,0.030745377143091116,0.030921116490273296,0.04034240128973489,0.05428430002260794,0.07790525031851266,0.034745202858962,0.05540633326495902,0.0011220332423510998,0.00789903267436856,0.03253125497020597,0.021955329104342308,0.003118686821206234,0.03253125497020597,0.021955329104342305,0.6975367481415616,0.06284703832731536,0.7237483758274005,0.7634690615327553,1.573157517049644,0.0012941986983452884,0.009111065001901076,0.6975367481415617,0.08776446731480879,0.35456208468588624,0.08776446731480879,0.4320333294688297,0.6578160624362072,0.08776446731480876,0.08776446731480878,0.0,0.0,0.0,0.0,0.0,0.0
Mantova-p.zza_Gramsci_PM10,0.25816725274704283,0.39810241655254713,0.33875294037594905,0.4558223026150828,0.3772471520086617,0.43021306094233736,0.46524395447254685,0.009421651857464153,0.0663277459700672,0.2731631713276581,0.1843576994240565,0.02618744291416662,0.2731631713276581,0.1843576994240565,0.2054973495653785,0.21146868077909967,0.16528911216802802,0.22197480912169248,0.2054973495653785,1.0249475748019286,0.17562911780917362,0.2054973495653785,0.021933637487902318,0.0886103051769214,0.021933637487902318,0.28814748777020643,0.14881165261171406,0.021933637487902315,0.021933637487902315,0.0,0.0,0.0,0.0,0.0,0.0
Mantova-S.Agnese_PM10,0.25816725274704283,0.39810241655254724,0.3387529403759491,0.4558223026150828,0.3772471520086617,0.4302130609423374,0.46524395447254685,0.009421651857464155,0.0663277459700672,0.27316317132765816,0.18435769942405653,0.026187442914166623,0.2731631713276581,0.18435769942405653,0.2054973495653785,0.21146868077909972,0.165289112168028,0.22197480912169248,0.2054973495653785,0.14932680589384692,1.0512498867172557,0.2054973495653785,0.021933637487902318,0.0886103051769214,0.021933637487902318,0.28814748777020643,0.14881165261171406,0.021933637487902318,0.021933637487902318,0.0,0.0,0.0,0.0,0.0,0.0
Osio_Sotto_PM10,0.03074537714309112,0.030921116490273293,0.04034240128973488,0.054284300022607944,0.07790525031851267,0.034745202858962,0.05540633326495903,0.0011220332423510998,0.00789903267436856,0.032531254970205974,0.021955329104342308,0.003118686821206234,0.032531254970205974,0.021955329104342305,0.6975367481415617,0.06284703832731536,0.7237483758274005,0.7634690615327553,0.6975367481415617,0.0012941986983452884,0.009111065001901076,1.573157517049644,0.08776446731480879,0.35456208468588624,0.08776446731480879,0.4320333294688297,0.6578160624362072,0.08776446731480878,0.08776446731480878,0.0,0.0,0.0,0.0,0.0,0.0
Parona_PM10,0.01384821459178784,0.013927370433027745,0.01817086931827758,0.024450525754796084,0.03508978339139165,0.0156498007159502,0.02495590765487432,0.0005053819000782414,0.0035578519343933443,0.014652602818008049,0.009889034941910922,0.001404706930204288,0.014652602818008049,0.009889034941910919,0.4456464011844546,0.02830732142801346,0.7887385183367868,0.6153101288733123,0.4456464011844547,0.000582928002986798,0.004103770876474888,0.4456464011844547,1.2464372794854408,0.6224510481821782,0.37081651057735887,0.19459479158262216,0.6190747906479293,0.37081651057735887,0.37081651057735887,0.0,0.0,0.0,0.0,0.0,0.0
Pavia-p.zza_Minerva_PM10,0.01384821459178784,0.013927370433027745,0.01817086931827758,0.024450525754796084,0.03508978339139165,0.015649800715950197,0.02495590765487432,0.0005053819000782415,0.003557851934393344,0.014652602818008047,0.009889034941910922,0.0014047069302042879,0.014652602818008047,0.00988903494191092,0.4456464011844546,0.028307321428013458,0.7887385183367868,0.7242191668382134,0.4456464011844547,0.0005829280029867981,0.004103770876474887,0.4456464011844547,0.37081651057735887,1.4980718170902603,0.37081651057735887,0.19459479158262213,0.510165752683028,0.3708165105773588,0.37081651057735887,0.0,0.0,0.0,0.0,0.0,0.0
Sannazzaro_de'_Burgondi-AGIP_PM10,0.01384821459178784,0.013927370433027744,0.018170869318277577,0.024450525754796087,0.035089783391391655,0.0156498007159502,0.024955907654874324,0.0005053819000782415,0.003557851934393344,0.014652602818008047,0.00988903494191092,0.001404706930204288,0.014652602818008047,0.00988903494191092,0.4456464011844546,0.02830732142801346,0.7887385183367868,0.7242191668382135,0.44564640118445464,0.000582928002986798,0.004103770876474888,0.44564640118445464,0.3708165105773588,0.6224510481821781,1.246437279485441,0.19459479158262213,0.510165752683028,0.3708165105773588,0.3708165105773588,0.0,0.0,0.0,0.0,0.0,0.0
Sarezzo-via_Minelli_PM10,0.09180811917725078,0.09233289071786786,0.12046558961585997,0.16209719798636907,0.23263121712536172,0.1037519139891295,0.1654476776749148,0.0033504796885457933,0.023587134084526503,0.09714089111316485,0.06556034299420425,0.009312644630289184,0.09714089111316485,0.06556034299420424,0.6078147448428751,0.18766620938940018,0.4888878603553598,0.6565513484879429,0.6078147448428751,0.003864579308418956,0.027206358134207444,0.6078147448428751,0.06487474559346594,0.2620892685256983,0.06487474559346594,1.290085570127144,0.44015125671029215,0.06487474559346593,0.06487474559346593,0.0,0.0,0.0,0.0,0.0,0.0
Valmadrera_PM10,0.02104878415475194,0.0211690981638831,0.027619062634358763,0.03716391276808362,0.053335198681886374,0.0237871297524709,0.03793207493512381,0.0007681621670401893,0.005407805961211919,0.022271425097965907,0.015030974614916759,0.0021351036105468845,0.022271425097965907,0.015030974614916759,0.6773663742498774,0.04302610237501498,0.7610435701095359,0.7718855327488294,0.6773663742498774,0.0008860294322638474,0.006237582962550358,0.6773663742498774,0.12581726880240968,0.5082926437193755,0.12581726880240968,0.29577702876517536,1.5421451805186663,0.12581726880240965,0.12581726880240965,0.0,0.0,0.0,0.0,0.0,0.0
Vigevano-via_Valletta_PM10,0.013848214591787839,0.013927370433027745,0.01817086931827758,0.024450525754796087,0.03508978339139165,0.0156498007159502,0.02495590765487432,0.0005053819000782415,0.0035578519343933447,0.01465260281800805,0.009889034941910922,0.001404706930204288,0.01465260281800805,0.00988903494191092,0.44564640118445464,0.028307321428013465,0.7887385183367869,0.6153101288733124,0.4456464011844547,0.000582928002986798,0.004103770876474887,0.4456464011844547,0.37081651057735887,0.6224510481821781,0.37081651057735887,0.19459479158262216,0.6190747906479294,1.2464372794854408,0.37081651057735887,0.0,0.0,0.0,0.0,0.0,0.0
Voghera-via_Pozzoni_PM10,0.013848214591787839,0.013927370433027747,0.01817086931827758,0.024450525754796084,0.03508978339139165,0.0156498007159502,0.02495590765487432,0.0005053819000782415,0.0035578519343933443,0.014652602818008049,0.009889034941910922,0.001404706930204288,0.014652602818008049,0.00988903494191092,0.44564640118445464,0.028307321428013465,0.7887385183367868,0.7242191668382134,0.4456464011844547,0.000582928002986798,0.004103770876474887,0.4456464011844547,0.37081651057735887,0.6224510481821781,0.37081651057735887,0.19459479158262213,0.510165752683028,0.37081651057735887,1.2464372794854408,0.0,0.0,0.0,0.0,0.0,0.0
Conegliano,0.6379745571188703,0.13914202572336948,0.2698316597061606,0.4020956208803223,0.08912968157284765,0.2184928105940215,0.4127606245949446,0.01066500371462241,0.07508085289660574,0.3236309430220971,0.19426781400092324,0.027595144141537666,0.323630943022097,0.19426781400092316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3048618917328116,0.4292411228247299,0.42924112282472987,0.42924112282473,0.4292411228247299,0.4292411228247299
TV_Lancieri,0.6379745571188704,0.13914202572336948,0.2698316597061606,0.4020956208803223,0.08912968157284765,0.21849281059402156,0.41276062459494467,0.010665003714622411,0.07508085289660575,0.3236309430220971,0.1942678140009233,0.027595144141537672,0.323630943022097,0.19426781400092316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42924112282473,1.304861891732812,0.42924112282473,0.42924112282473004,0.42924112282473004,0.42924112282473
Mansue,0.6379745571188704,0.13914202572336948,0.26983165970616063,0.4020956208803223,0.08912968157284766,0.21849281059402156,0.4127606245949446,0.010665003714622411,0.07508085289660575,0.3236309430220971,0.19426781400092324,0.027595144141537672,0.323630943022097,0.19426781400092322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42924112282472987,0.42924112282472987,1.3048618917328119,0.42924112282473,0.4292411228247299,0.4292411228247299
TV_S_Agnese,0.6379745571188704,0.13914202572336948,0.26983165970616063,0.4020956208803223,0.08912968157284767,0.21849281059402162,0.4127606245949447,0.010665003714622413,0.07508085289660575,0.3236309430220971,0.19426781400092327,0.027595144141537672,0.323630943022097,0.19426781400092322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4292411228247299,0.4292411228247299,0.42924112282473,1.3048618917328123,0.42924112282473004,0.42924112282473
Bissuola,0.6379745571188703,0.13914202572336948,0.26983165970616063,0.40209562088032236,0.08912968157284767,0.21849281059402156,0.41276062459494467,0.010665003714622413,0.07508085289660577,0.32363094302209716,0.19426781400092324,0.027595144141537672,0.323630943022097,0.19426781400092322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4292411228247299,0.4292411228247299,0.42924112282473,0.42924112282473,1.304861891732812,0.42924112282473
VE_Tagliamento,0.6379745571188704,0.13914202572336948,0.26983165970616063,0.4020956208803223,0.08912968157284767,0.21849281059402156,0.41276062459494467,0.010665003714622413,0.07508085289660575,0.3236309430220971,0.19426781400092324,0.027595144141537672,0.32363094302209705,0.19426781400092322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4292411228247299,0.4292411228247299,0.42924112282473,0.42924112282473,0.42924112282473,1.304861891732812
