Station,Variable,Mean_Value,Local_Morans_I,P_value,Cluster_Type,Significant
Sarezzo-via_Minelli_PM10,BLH,324.28814479407254,0.4826916658441793,0.026,Low-Low,True
Valmadrera_PM10,BLH,328.0753359399058,0.2293864375898064,0.157,Not Significant,False
Vigevano-via_Valletta_PM10,BLH,380.6848126317146,0.3921484096253854,0.095,Not Significant,False
Voghera-via_Pozzoni_PM10,BLH,387.0299487301673,0.4691551218679003,0.092,Not Significant,False
Conegliano,BLH,306.33511985316596,1.0688787480218784,0.001,Low-Low,True
TV_Lancieri,BLH,306.33511985316596,1.0688787480218784,0.001,Low-Low,True
Mansue,BLH,308.66269750429836,1.0232959301338374,0.001,Low-Low,True
TV_S_Agnese,BLH,326.2330175459184,0.6349470982813552,0.001,Low-Low,True
Bissuola,BLH,318.9691272340613,0.8049742263375363,0.001,Low-Low,True
VE_Tagliamento,BLH,326.2330175459184,0.6349470982813552,0.001,Low-Low,True
Borgo Valsugana,WS,0.6601749116115272,1.297904851625644,0.001,Low-Low,True
Monte Gaza,WS,0.7246593117514095,1.0624357737097507,0.002,Low-Low,True
Parco S. Chiara,WS,0.7430192901816112,1.1144173888833868,0.001,Low-Low,True
Piana Rotaliana,WS,0.6277734624164563,1.330873628705282,0.001,Low-Low,True
Riva del Garda,WS,0.9126598932024583,0.715661047117154,0.001,Low-Low,True
Rovereto,WS,0.6277734624164563,1.2566450418752149,0.002,Low-Low,True
Via Bolzano,WS,0.6953526284507183,1.1122387696317828,0.002,Low-Low,True
"A22_sud,_Termeno,_c/o_Maso_Binnenland",WS,0.7432021653836479,1.1484830700761766,0.001,Low-Low,True
"Brunico_1,_c/o_parcheggio_di_via_Goethe",WS,0.8660112891244534,0.777590387344408,0.002,Low-Low,True
"Bressanone,_c/o_Villa_Adele_in_Via_Stazione",WS,0.7813933507541104,0.9277827644965659,0.002,Low-Low,True
Bolzano_4-Via_C.Augusta,WS,0.6303999809500137,1.2689856849485381,0.002,Low-Low,True
Bolzano_5-P.zza_Adriano,WS,0.6303999809500137,1.2689856849485381,0.002,Low-Low,True
"Laces_1-Via_Stazione,_parcheggio_fs",WS,0.8664325140632283,0.8150151453095996,0.001,Low-Low,True
"Laives_1,_c/o_campi_sportivi_zona_Galizia",WS,0.6480365468788205,1.2871299155281068,0.001,Low-Low,True
"Merano_1,_Via_Trogman",WS,0.8892597620738466,0.7705105153096422,0.001,Low-Low,True
Bergamo-via_Garibaldi_PM10,WS,1.479350072624388,0.15556709043718395,0.184,Not Significant,False
Brescia-Broletto_PM10,WS,1.2519441685374562,0.010208327523544702,0.142,Not Significant,False
Calusco_d'Adda_PM10,WS,1.5480743557387746,0.3106579217538394,0.086,Not Significant,False
Filago-via_Don_Milani_PM10,WS,1.4609870323314258,0.23581366624001054,0.078,Not Significant,False
Lallio_PM10,WS,1.5094805868415548,0.16969172575657404,0.182,Not Significant,False
Mantova-p.zza_Gramsci_PM10,WS,1.6434519105167993,-0.31018852006287145,0.167,Not Significant,False
Mantova-S.Agnese_PM10,WS,1.6434519105167993,-0.31018852006287145,0.167,Not Significant,False
Osio_Sotto_PM10,WS,1.4609870323314258,0.14636396034360646,0.173,Not Significant,False
Parona_PM10,WS,1.71378710419864,0.6855891634416457,0.03,High-High,True
Pavia-p.zza_Minerva_PM10,WS,1.7325198445385477,0.7587058715525767,0.021,High-High,True
Sannazzaro_de'_Burgondi-AGIP_PM10,WS,1.7660268186057608,0.7985041642101703,0.022,High-High,True
Sarezzo-via_Minelli_PM10,WS,1.1275317344364995,-0.04774803676684715,0.276,Not Significant,False
Valmadrera_PM10,WS,1.3024521402213516,0.07355340076707867,0.067,Not Significant,False
Vigevano-via_Valletta_PM10,WS,1.71378710419864,0.6855891634416457,0.029,High-High,True
Voghera-via_Pozzoni_PM10,WS,1.5396681627120905,0.5004822066292287,0.015,High-High,True
Conegliano,WS,1.1646707754435317,-0.13751858280410137,0.012,Low-High,True
TV_Lancieri,WS,1.5867131424353509,0.5386090343259438,0.024,High-High,True
Mansue,WS,1.5675173270760798,0.5130224628541817,0.024,High-High,True
TV_S_Agnese,WS,1.5867131424353509,0.5386090343259438,0.024,High-High,True
Bissuola,WS,2.5506066980150486,1.1903871071498366,0.057,Not Significant,False
VE_Tagliamento,WS,2.2314388943353363,1.1120320495804092,0.045,High-High,True
Borgo Valsugana,PRECIP,0.00017737609952516464,0.728654705146247,0.061,Not Significant,False
Monte Gaza,PRECIP,0.00018782021052031188,1.4922867304999197,0.013,High-High,True
Parco S. Chiara,PRECIP,0.00018167279424532114,1.524064720286153,0.006,High-High,True
Piana Rotaliana,PRECIP,0.00015959594291098422,0.49148813228894794,0.024,High-High,True
Riva del Garda,PRECIP,0.00016396368571789077,0.8451369475758208,0.009,High-High,True
Rovereto,PRECIP,0.00015959594291098422,0.9433147488456125,0.001,High-High,True
Via Bolzano,PRECIP,0.00017384071010348738,1.1572225108672851,0.01,High-High,True
"A22_sud,_Termeno,_c/o_Maso_Binnenland",PRECIP,0.00012762401061453845,-0.17839791887784728,0.236,Not Significant,False
