variable,coefficient,effect_type,z_stat,p_value,significance,cluster_id
lag_uwind_950,-0.08060430863394322,Indirect (θ),-4.024604627409215,5.707111673566699e-05,***,1
lag_Vwind_850,0.010537070017931579,Indirect (θ),2.5791820943863275,0.009903456677987059,***,1
lag_Vwind_950,-0.037804218758821354,Indirect (θ),-3.6669244072281137,0.0002454853264244809,***,1
lag_total_precipitation,0.0006692010491709966,Indirect (θ),0.31675163047184757,0.7514320689237994,,1
W_log_pm10,0.7359981066677241,Direct (β),96.7368048189659,0.0,***,1
W_log_pm10,0.6227707505073328,Endogenous (ρ),,,,2
temperature_2m,0.2988987205445702,Direct (β),5.1328421790620204,2.853992124274309e-07,***,2
humidity_950,0.26867879028647096,Direct (β),16.03251222850541,7.575716211350835e-58,***,2
blh,0.07574464850530299,Direct (β),3.331395976682354,0.0008641158888966172,***,2
solar_radiation_downwards,0.02378802084451831,Direct (β),0.442602712853888,0.6580531221920636,,2
wind_u_10m,0.08656863549013119,Direct (β),3.757346107085658,0.0001717249087550475,***,2
wind_v_10m,-0.11895100103116261,Direct (β),-5.62264378272312,1.880569273036459e-08,***,2
uwind_850,0.06978362452217765,Direct (β),3.9474934584582924,7.897367518970256e-05,***,2
uwind_950,-0.37684649638857987,Direct (β),-7.328332324393964,2.33034281930678e-13,***,2
Vwind_850,-0.1244288839979538,Direct (β),-6.725051713556831,1.7553009058624954e-11,***,2
Vwind_950,0.3672546298101005,Direct (β),8.931257543471585,4.2119328932570224e-19,***,2
total_precipitation,-0.10373213974964049,Direct (β),-8.594098638399474,8.392091526148932e-18,***,2
lag_temperature_2m,-0.05989096522530065,Indirect (θ),-6.116407320666015,9.57085063452751e-10,***,2
lag_humidity_950,-0.056685628111033906,Indirect (θ),-19.048718275212252,6.73306323490476e-81,***,2
lag_blh,-0.033877482297257594,Indirect (θ),-8.902403326061142,5.465026940694385e-19,***,2
lag_solar_radiation_downwards,0.001990913599737614,Indirect (θ),0.2170432241464567,0.8281746597335664,,2
lag_wind_u_10m,-0.008783920143233972,Indirect (θ),-2.0466185174983003,0.04069555525339363,**,2
lag_wind_v_10m,0.007317092758921295,Indirect (θ),1.9529005756543605,0.050831377489567287,*,2
lag_uwind_850,-0.012251008217835941,Indirect (θ),-3.743826473902776,0.00018123884423664437,***,2
lag_uwind_950,0.047650150985654074,Indirect (θ),7.931627086520096,2.16293100133449e-15,***,2
lag_Vwind_850,0.03724631826658766,Indirect (θ),10.9697416565233,5.342482123484329e-28,***,2
lag_Vwind_950,-0.03879784230233202,Indirect (θ),-6.11490083015914,9.661702780223762e-10,***,2
lag_total_precipitation,0.011082865405934558,Indirect (θ),5.094742943129123,3.492147589910613e-07,***,2
W_log_pm10,0.6227707505073328,Direct (β),66.36630810292206,0.0,***,2
W_log_pm10,0.7141793520560267,Endogenous (ρ),,,,3
temperature_2m,0.5476867310562035,Direct (β),6.534983240225584,6.361666481555595e-11,***,3
humidity_950,0.05357028263012209,Direct (β),2.763662997114327,0.005715653726910973,***,3
blh,-0.0981563018482985,Direct (β),-4.424890157319375,9.649136699733193e-06,***,3
solar_radiation_downwards,0.7295471264681673,Direct (β),8.81374724683403,1.2103075959134379e-18,***,3
wind_u_10m,0.017559087432154882,Direct (β),1.3394474705685635,0.1804250443398091,,3
wind_v_10m,-0.01646280882203289,Direct (β),-1.4695329214763144,0.1416882991536605,,3
