,Borgo Valsugana,Monte Gaza,Parco S. Chiara,Piana Rotaliana,Riva del Garda,Rovereto,"A22_sud,_Termeno,_c/o_Maso_Binnenland","Brunico_1,_c/o_parcheggio_di_via_Goethe","Bressanone,_c/o_Villa_Adele_in_Via_Stazione",Bolzano_4-Via_C.Augusta,Bolzano_5-P.zza_Adriano,"Laces_1-Via_Stazione,_parcheggio_fs","Laives_1,_c/o_campi_sportivi_zona_Galizia","Merano_1,_Via_Trogman",Bergamo-via_Garibaldi_PM10,Brescia-Broletto_PM10,Calusco_d'Adda_PM10,Filago-via_Don_Milani_PM10,Lallio_PM10,Mantova-p.zza_Gramsci_PM10,Mantova-S.Agnese_PM10,Osio_Sotto_PM10,Parona_PM10,Pavia-p.zza_Minerva_PM10,Sannazzaro_de'_Burgondi-AGIP_PM10,Sarezzo-via_Minelli_PM10,Valmadrera_PM10,Vigevano-via_Valletta_PM10,Voghera-via_Pozzoni_PM10,Conegliano,TV_Lancieri,Mansue,TV_S_Agnese,Bissuola,VE_Tagliamento
Bolzano_5-P.zza_Adriano,0.018202059356626884,0.016563603935077845,0.02981416861195302,0.14552908391308217,0.005364308919552492,0.017964356466075148,0.15398221975053727,0.008453135837455049,0.10139102068421069,0.14861791083098477,1.0590621461563712,0.011340032548296448,0.14861791083098477,0.1360178632844621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Laces_1-Via_Stazione,_parcheggio_fs",0.0183709358211535,0.01723013540011607,0.030493696086424948,0.15199585492222348,0.005533185384079104,0.018643883940547078,0.15398221975053727,0.001986364828313773,0.023825425412137342,0.14844903436645815,0.1353383358099902,1.0112833792272407,0.14844903436645818,0.13533833580999016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Laives_1,_c/o_campi_sportivi_zona_Galizia",0.0966680187193964,0.018576194339626227,0.03786516318940696,0.15205684024642377,0.006874551154231132,0.026015351043529096,0.1539822197505373,0.0019253795041134438,0.02309393778596778,0.14710766859630608,0.12796686870700816,0.010668807913900097,1.0701519514682154,0.12796686870700816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Merano_1,_Via_Trogman",0.0183709358211535,0.01723013540011607,0.030493696086424944,0.15199585492222345,0.005533185384079104,0.018643883940547074,0.15398221975053727,0.001986364828313773,0.02382542541213734,0.14844903436645812,0.1353383358099902,0.08823909635533156,0.14844903436645818,1.0583826186818992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bergamo-via_Garibaldi_PM10,0.0012036022470000248,0.001261136446968882,0.001402316925127147,0.0015043986996295048,0.009988196910976847,0.0013537605210237503,0.0015089761037463722,4.577404116866881e-06,5.490361025985454e-05,0.00043117967164360387,0.00022278351681217956,1.85738275169822e-05,0.00043117967164360387,0.00022278351681217953,1.0712734911293982,0.009653275194068427,0.14281996845272246,0.1517628696165454,0.1482292082574889,6.756793408955825e-05,0.0008104426492839045,0.14822920825748892,0.004176467455212417,0.037565178660977756,0.004176467455212418,0.11490806498581316,0.13928630709366607,0.004176467455212417,0.004176467455212418,0.0,0.0,0.0,0.0,0.0,0.0
Brescia-Broletto_PM10,0.0041504847041248525,0.011243798820814388,0.004835729546519782,0.00518774687175991,0.02065332677599808,0.01156320234764949,0.005203531526382324,1.5784654622411752e-05,0.0001893288211722272,0.0014868737877043172,0.0007682434800739236,6.404972007856871e-05,0.0014868737877043175,0.0007682434800739235,0.13928054839085866,1.018348706938116,0.05347426415794809,0.14128596911168004,0.13928054839085863,0.00712791430134109,0.08549566933022786,0.13928054839085866,0.002370225531955202,0.021318960707711224,0.0023702255319552022,0.12745972751644377,0.05146884343712675,0.002370225531955202,0.0023702255319552022,0.0,0.0,0.0,0.0,0.0,0.0
Calusco_d'Adda_PM10,0.0003705552638619968,0.0003882684250858876,0.00043173392165378965,0.0004631620275587974,0.003075084772463482,0.0004167847711519765,0.0004645712814834694,1.4092539246718127e-06,1.6903276674271784e-05,0.00013274808799673292,6.858877595335619e-05,5.718358846236362e-06,0.00013274808799673292,6.858877595335619e-05,0.14036205598454743,0.0029719718001410644,1.0735899595408218,0.1514752518021894,0.14036205598454746,2.080226562186349e-05,0.00024951248678618224,0.14036205598454746,0.01313479021888447,0.11814068864132046,0.013134790218884472,0.03537695982773334,0.13943248085127086,0.01313479021888447,0.013134790218884472,0.0,0.0,0.0,0.0,0.0,0.0
Filago-via_Don_Milani_PM10,0.0003705552638619968,0.00038826842508588765,0.00043173392165378975,0.00046316202755879746,0.0030750847724634826,0.0004167847711519765,0.00046457128148346945,1.409253924671813e-06,1.6903276674271788e-05,0.00013274808799673292,6.85887759533562e-05,5.718358846236362e-06,0.00013274808799673292,6.85887759533562e-05,0.14036205598454746,0.002971971800141065,0.15054567666891275,1.0745195346740988,0.14036205598454748,2.0802265621863492e-05,0.0002495124867861823,0.1403620559845475,0.013134790218884468,0.11814068864132048,0.013134790218884472,0.03537695982773335,0.13943248085127086,0.013134790218884468,0.013134790218884473,0.0,0.0,0.0,0.0,0.0,0.0
Lallio_PM10,0.0012036022470000248,0.0012611364469688818,0.001402316925127147,0.0015043986996295048,0.009988196910976847,0.0013537605210237503,0.0015089761037463722,4.577404116866881e-06,5.490361025985454e-05,0.0004311796716436038,0.00022278351681217953,1.8573827516982194e-05,0.0004311796716436038,0.00022278351681217953,0.14822920825748892,0.009653275194068426,0.14281996845272246,0.15176286961654537,1.071273491129398,6.756793408955825e-05,0.0008104426492839044,0.14822920825748892,0.004176467455212417,0.037565178660977756,0.004176467455212417,0.11490806498581314,0.13928630709366607,0.004176467455212417,0.004176467455212417,0.0,0.0,0.0,0.0,0.0,0.0
Mantova-p.zza_Gramsci_PM10,0.034883849083669795,0.11925230593656838,0.040643171035564106,0.04360179397334048,0.12408472503464006,0.12193681755899032,0.04373446028798534,0.00013266631464484943,0.0015912642729166908,0.012496824952804748,0.00645690600709316,0.0005383228534372344,0.01249682495280475,0.006456906007093159,0.025160326924935472,0.10058790398503978,0.009659855477512162,0.025522596039616947,0.025160326924935465,1.007703546150007,0.0924000775636784,0.025160326924935472,0.0004281692595183378,0.003851162472455292,0.0004281692595183378,0.10639659699009665,0.009297586362830698,0.0004281692595183378,0.0004281692595183379,0.0,0.0,0.0,0.0,0.0,0.0
